ISO_code,country,region,Gavi_MCV2,MMR68_priority,MCV_complete,MCV_partial
AFG,Afghanistan,EMRO,Yes,yes,2004,
ALB,Albania,EURO,No,no,2001,
DZA,Algeria,AFRO,No,no,1997,1997
AND,Andorra,EURO,No,no,1991,
AGO,Angola,AFRO,No,yes,,
ATG,Antigua and Barbuda,AMRO,No,no,1997,
ARG,Argentina,AMRO,No,no,1998,
ARM,Armenia,EURO,No,no,1986,
AUS,Australia,WPRO,No,no,1994,
AUT,Austria,EURO,No,no,1973,
AZE,Azerbaijan,EURO,No,no,2001,
BHS,Bahamas (the),AMRO,No,no,2001,
BHR,Bahrain,EMRO,No,no,prior to 1995,1985
BGD,Bangladesh,SEARO,Yes,yes,2012,
BRB,Barbados,AMRO,No,no,1997,
BLR,Belarus,EURO,No,no,1987,
BEL,Belgium,EURO,No,no,1994,
BLZ,Belize,AMRO,No,no,2005,
BEN,Benin,AFRO,Yes,yes,,
BTN,Bhutan,SEARO,No,no,2006,
BOL,Bolivia (Plurinational State of),AMRO,No,yes,,
BIH,Bosnia and Herzegovina,EURO,No,no,1971,
BWA,Botswana,AFRO,No,no,2011,
BRA,Brazil,AMRO,No,no,2004,1992
BRN,Brunei Darussalam,WPRO,No,no,1988,
BGR,Bulgaria,EURO,No,no,1983,
BFA,Burkina Faso,AFRO,Yes,yes,2014,
BDI,Burundi,AFRO,Yes,yes,2013,
KHM,Cambodia,WPRO,Yes,yes,2012,
CMR,Cameroon,AFRO,Yes,yes,,
CAN,Canada,AMRO,No,no,1997,1996
CPV,Cabo Verde,AFRO,No,no,2010,
CAF,Central African Republic (the),AFRO,Yes,yes,,
TCD,Chad,AFRO,Yes,yes,,
CHL,Chile,AMRO,No,no,1992,
CHN,China,WPRO,No,no,1986,
COL,Colombia,AMRO,No,no,1997,
COM,Comoros (the),AFRO,Yes,yes,,
COG,Congo (the),AFRO,No,yes,,
COK,Cook Islands,WPRO,No,no,1982,1982
CRI,Costa Rica,AMRO,No,no,1992,
CIV,C»te d'Ivoire,AFRO,Yes,yes,,
HRV,Croatia,EURO,No,no,1968,
CUB,Cuba,AMRO,No,no,2004,
CYP,Cyprus,EURO,No,no,1989,
CZE,Czech Republic (the),EURO,No,no,1975,
PRK,Democratic Peopleês Republic of Korea (the),SEARO,Yes,yes,2008,
COD,Democratic Republic of the Congo (the),AFRO,Yes,yes,,
DNK,Denmark,EURO,No,no,1987,
DJI,Djibouti,EMRO,Yes,yes,2011,
DMA,Dominica,AMRO,No,no,2001,
DOM,Dominican Republic (the),AMRO,No,no,,
ECU,Ecuador,AMRO,No,no,2009,
EGY,Egypt,EMRO,No,no,1999,
SLV,El Salvador,AMRO,No,no,2000,
GNQ,Equatorial Guinea,AFRO,No,no,,
ERI,Eritrea,AFRO,Yes,yes,2012,
EST,Estonia,EURO,No,no,1994,
ETH,Ethiopia,AFRO,Yes,yes,,
FJI,Fiji,WPRO,No,no,2003,
FIN,Finland,EURO,No,no,1982,
FRA,France,EURO,No,no,1996,
GAB,Gabon,AFRO,No,no,,
GMB,Gambia (the),AFRO,Yes,yes,2012,
GEO,Georgia,EURO,No,no,1997,
DEU,Germany,EURO,No,no,1991,1986
GHA,Ghana,AFRO,Yes,yes,2012,
GRC,Greece,EURO,No,no,prior to 1995,
GRD,Grenada,AMRO,No,no,2000,
GTM,Guatemala,AMRO,No,no,,
GIN,Guinea,AFRO,Yes,yes,,
GNB,Guinea-Bissau,AFRO,Yes,yes,,
GUY,Guyana,AMRO,No,no,2001,
HTI,Haiti,AMRO,Yes,yes,,
HND,Honduras,AMRO,No,no,,
HUN,Hungary,EURO,No,no,1989,
ISL,Iceland,EURO,No,no,1976,
IND,India,SEARO,Yes,yes,2011,2010
IDN,Indonesia,SEARO,No,yes,2005,2004
IRN,Iran (Islamic Republic of),EMRO,No,no,1963,
IRQ,Iraq,EMRO,No,yes,1989,
IRL,Ireland,EURO,No,no,1992,
ISR,Israel,EURO,No,no,prior to 1995,
ITA,Italy,EURO,No,no,2004,1998
JAM,Jamaica,AMRO,No,no,2002,
JPN,Japan,WPRO,No,no,2006,n/d
JOR,Jordan,EMRO,No,no,1995,
KAZ,Kazakhstan,EURO,No,no,1995,
KEN,Kenya,AFRO,Yes,yes,2013,
KIR,Kiribati,WPRO,No,yes,2007,
KWT,Kuwait,EMRO,No,no,1996,
KGZ,Kyrgyzstan,EURO,Yes,no,1986,
LAO,Lao Peopleês Democratic Republic (the),WPRO,Yes,yes,,
LVA,Latvia,EURO,No,no,1986,
LBN,Lebanon,EMRO,No,no,1995,
LSO,Lesotho,AFRO,Yes,yes,1981,
LBR,Liberia,AFRO,Yes,yes,,
LBY,Libya,EMRO,No,no,prior to 1995,
LTU,Lithuania,EURO,No,no,1992,
LUX,Luxembourg,EURO,No,no,prior to 1998,
MDG,Madagascar,AFRO,Yes,yes,,
MWI,Malawi,AFRO,Yes,yes,2015,
MYS,Malaysia,WPRO,No,no,2002,2002
MDV,Maldives,SEARO,No,no,2007,
MLI,Mali,AFRO,Yes,yes,,
MLT,Malta,EURO,No,no,1989,1989
MHL,Marshall Islands (the),WPRO,No,no,1998,
MRT,Mauritania,AFRO,Yes,yes,,
MUS,Mauritius,AFRO,No,no,2003,
MEX,Mexico,AMRO,No,no,1993,
FSM,Micronesia (Federated States of),WPRO,No,yes,1995,1995
MCO,Monaco,EURO,No,no,1996,
MNG,Mongolia,WPRO,No,no,1989,1987
MNE,Montenegro,EURO,No,no,1994,
MAR,Morocco,EMRO,No,yes,2014,
MOZ,Mozambique,AFRO,Yes,yes,2015,
MMR,Myanmar,SEARO,Yes,yes,2012,2008
NAM,Namibia,AFRO,No,no,2015,
NRU,Nauru,WPRO,No,no,2005,
NPL,Nepal,SEARO,Yes,yes,2015,
NLD,Netherlands (the),EURO,No,no,1987,
NZL,New Zealand,WPRO,No,no,1992,
NIC,Nicaragua,AMRO,Yes,no,,
NER,Niger (the),AFRO,Yes,yes,2014,
NGA,Nigeria,AFRO,Yes,yes,,
NIU,Niue,WPRO,No,no,1975,
NOR,Norway,EURO,No,no,1983,1983
OMN,Oman,EMRO,No,no,1994,
PAK,Pakistan,EMRO,Yes,yes,2009,
PLW,Palau,WPRO,No,no,prior to 1995,
PAN,Panama,AMRO,No,no,1992,
PNG,Papua New Guinea,WPRO,Yes,yes,2016,
PRY,Paraguay,AMRO,No,no,2004,
PER,Peru,AMRO,No,no,2007,
PHL,Philippines (the),WPRO,No,yes,2010,2009
POL,Poland,EURO,No,no,1991,
PRT,Portugal,EURO,No,no,1990,
QAT,Qatar,EMRO,No,no,1996,
KOR,Republic of Korea (the),WPRO,No,no,1997,
MDA,Republic of Moldova (the),EURO,No,no,2002,
ROU,Romania,EURO,No,no,1979,
RUS,Russian Federation (the),EURO,No,no,1987,
RWA,Rwanda,AFRO,Yes,yes,2014,
KNA,Saint Kitts and Nevis,AMRO,No,no,1997,
LCA,Saint Lucia,AMRO,No,no,1991,
VCT,Saint Vincent and the Grenadines,AMRO,No,no,1997,
WSM,Samoa,WPRO,No,yes,2005,
SMR,San Marino,EURO,No,no,2001,
STP,Sao Tome and Principe,AFRO,Yes,yes,2013,
SAU,Saudi Arabia,EMRO,No,no,1991,
SEN,Senegal,AFRO,Yes,yes,2014,
SRB,Serbia,EURO,No,no,1994,
SYC,Seychelles,AFRO,No,no,1989,
SLE,Sierra Leone,AFRO,Yes,yes,2016,
SGP,Singapore,WPRO,No,no,1998,
SVK,Slovakia,EURO,No,no,1977,
SVN,Slovenia,EURO,No,no,1974,
SLB,Solomon Islands,WPRO,Yes,yes,,
SOM,Somalia,EMRO,Yes,yes,,
ZAF,South Africa,AFRO,No,no,1994,
SSD,South Sudan,AFRO,Yes,yes,,
ESP,Spain,EURO,No,no,1996,1988
LKA,Sri Lanka,SEARO,No,no,2001,2001
SDN,Sudan (the),EMRO,Yes,yes,2012,
SUR,Suriname,AMRO,No,no,2005,
SWZ,Swaziland,AFRO,No,yes,1995,
SWE,Sweden,EURO,No,no,1982,
CHE,Switzerland,EURO,No,no,1996,
SYR,Syrian Arab Republic (the),EMRO,No,yes,1993,
TJK,Tajikistan,EURO,Yes,yes,1986,
